Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
X-Blades,Xbox360,2009-02-06,50,60.0,GaijinEntertainment,"action,beat-'em-up,beat-'em-up,3d",1,39,18,2009,2,6,Vie,"['action', '3d', ""beat-'em-up""]"
Tao's Adventure: Curse of the Demon Seal,DS,2006-03-21,50,74.0,Konami,"role-playing,general,general",2,28,9,2006,3,21,Mar,"['role-playing', 'general']"
Afterfall: InSanity,PC,2011-11-25,50,59.0,NicolasIntoxicate,"role-playing,pc-stylerpg,actionadventure,horror,survival",No info,20,148,2011,11,25,Vie,"['role-playing', 'pc-stylerpg', 'survival', 'horror', 'actionadventure']"
Hurry Up Hedgehog!,DS,2009-06-16,50,0.0,Ivolgamus,"miscellaneous,boardgames,boardgames,board/cardgame",No info,8,0,2009,6,16,Mar,"['miscellaneous', 'board/cardgame', 'boardgames']"
Funky Barn,WiiU,2012-11-18,50,56.0,Tantalus,"simulation,general,general,virtual,virtuallife",1,10,14,2012,11,18,Dom,"['virtual', 'simulation', 'general', 'virtuallife']"
Wolfenstein: Cyberpilot,PlayStation4,2019-07-26,50,38.0,MachineGames,"action,shooter,first-person,arcade",1,35,44,2019,7,26,Vie,"['arcade', 'action', 'shooter', 'first-person']"
Lust for Darkness,PC,2018-06-12,50,52.0,MovieGames,"adventure,3d,first-person",1,9,44,2018,6,12,Mar,"['first-person', 'adventure', '3d']"
Dead Space 3: Awakened,Xbox360,2013-03-12,50,51.0,VisceralGames,"action,actionadventure,shooter,shooter,linear,third-person,sci-fi,sci-fi",No info,10,49,2013,3,12,Mar,"['sci-fi', 'linear', 'third-person', 'shooter', 'actionadventure', 'action']"
Gods & Heroes: Rome Rising,PC,2011-06-21,50,62.0,HeatwaveInteractive,"role-playing,massivelymultiplayeronline,massivelymultiplayer,fantasy,fantasy",>4,8,27,2011,6,21,Mar,"['role-playing', 'massivelymultiplayeronline', 'fantasy', 'massivelymultiplayer']"
The Incredible Hulk,DS,2008-06-05,50,0.0,AmazeEntertainment,"action,general,general",2,15,0,2008,6,5,Jue,"['action', 'general']"
Galerians: Ash,PlayStation2,2003-02-03,50,81.0,PolygonMagic,"actionadventure,horror",1,22,13,2003,2,3,Lun,"['horror', 'actionadventure']"
Dino Stalker,PlayStation2,2002-09-09,50,58.0,Capcom,"action,shooter,lightgun",1,18,15,2002,9,9,Lun,"['action', 'lightgun', 'shooter']"
Left Brain Right Brain,DS,2007-12-04,50,0.0,JapanArtMedia(JAM),"miscellaneous,puzzle,edutainment,general,edutainment",1,9,0,2007,12,4,Mar,"['miscellaneous', 'puzzle', 'edutainment', 'general']"
Novadrome,Xbox360,2006-12-20,50,75.0,StainlessGames,"simulation,driving,carcombat,carcombat,vehicle,combat",>4,10,4,2006,12,20,Mie,"['carcombat', 'vehicle', 'simulation', 'driving', 'combat']"
Start the Party! Save the World,PlayStation3,2012-03-06,50,28.0,SupermassiveGames,"miscellaneous,party,party,party/minigame",No info,15,4,2012,3,6,Mar,"['miscellaneous', 'party', 'party/minigame']"
Fear Effect Sedna,PlayStation4,2018-03-06,50,60.0,Sushee,"role-playing,general",1,16,25,2018,3,6,Mar,"['role-playing', 'general']"
Pirates: Duels on the High Seas,DS,2009-05-14,50,0.0,OxygenInteractive,"action,general,general",No info,15,0,2009,5,14,Jue,"['action', 'general']"
Empire Earth III,PC,2007-11-06,50,31.0,MadDocSoftware,"strategy,real-time,historic,general,historic",>4,40,68,2007,11,6,Mar,"['historic', 'real-time', 'strategy', 'general']"
Agatha Christie: And Then There Were None,Wii,2008-02-25,50,62.0,AWEGames,"adventure,3d,point-and-click,modern,third-person,modern",1,23,12,2008,2,25,Lun,"['adventure', '3d', 'point-and-click', 'third-person', 'modern']"
