Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
The Park,XboxOne,2016-05-03,61,60.0,Funcom,"actionadventure,survival",No info,11,11,2016,5,3,Mar,"['survival', 'actionadventure']"
Gunscape,PlayStation4,2016-03-01,61,50.0,BlowfishStudios,"action,shooter,first-person,arcade",>4,7,4,2016,3,1,Mar,"['shooter', 'first-person', 'action', 'arcade']"
Sym,PC,2015-05-07,61,0.0,AtraxGames,"action,general,general",No info,11,0,2015,5,7,Jue,"['general', 'action']"
Conflict: Global Terror,PC,2005-10-03,61,71.0,PivotalGames,"action,shooter,shooter,third-person,tactical,modern,modern",4,10,18,2005,10,3,Lun,"['modern', 'shooter', 'action', 'third-person', 'tactical']"
Cooking Mama: Cook Off,Wii,2007-03-20,61,56.0,OfficeCreate,"simulation,miscellaneous,general,general,virtual,career",1,37,25,2007,3,20,Mar,"['career', 'simulation', 'general', 'virtual', 'miscellaneous']"
Gal Metal,Switch,2018-10-30,61,66.0,DMMGAMES,"action,rhythm,music",1,21,10,2018,10,30,Mar,"['rhythm', 'music', 'action']"
Dinosaur King,DS,2008-09-23,61,83.0,ClimaxEntertainment,"role-playing,strategy,general,general,general",2,13,12,2008,9,23,Mar,"['general', 'role-playing', 'strategy']"
WRC 8 FIA World Rally Championship,Switch,2019-10-31,61,59.0,Kylotonn,"racing,arcade,automobile",1,10,19,2019,10,31,Jue,"['arcade', 'automobile', 'racing']"
Friday the 13th: The Game,PlayStation4,2017-05-26,61,63.0,"IllFonic,GunMedia","actionadventure,survival",>4,16,245,2017,5,26,Vie,"['survival', 'actionadventure']"
Pure Chess,WiiU,2014-03-20,61,69.0,VooFooStudios,"miscellaneous,boardgames,board/cardgame",No info,8,17,2014,3,20,Jue,"['boardgames', 'miscellaneous', 'board/cardgame']"
Rig'n'Roll,PC,2010-04-16,61,53.0,Softlab-NSK,"driving,racing,simulation,truck,automobile",No info,9,26,2010,4,16,Vie,"['truck', 'driving', 'simulation', 'automobile', 'racing']"
